year,month,day,hour,season,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,Airlevel,cbwd_new
2013,1,1,0,4,129,-4,64.42,1022,2,cv,1,0,0,4,5
2013,1,1,1,4,135,-3,80.19,1022,0,cv,1,0,0,4,5
2013,1,1,13,4,132,-9,26.99,1018,9,SW,1,0,0,4,5
2013,1,1,14,4,100,-8,27.29,1017,10,SW,2,0,0,3,5
2013,1,1,15,4,101,-7,29.48,1015,10,NE,2,0,0,3,5
2013,1,1,16,4,91,-7,29.48,1015,10,NE,4,0,0,3,5
2013,1,1,17,4,95,-7,29.48,1014,10,cv,1,0,0,3,5
2013,1,1,18,4,115,-5,42.1,1014,7,cv,2,0,0,3,5
2013,1,1,19,4,129,-4,55.91,1014,4,cv,2,0,0,4,5
2013,1,1,20,4,138,-4,60,1015,3,cv,2,0,0,4,5
2013,1,1,21,4,159,-3,64.66,1015,3,cv,2,0,0,5,5
2013,1,1,22,4,163,-3,69.43,1015,2,cv,3,0,0,5,5
2013,1,1,23,4,155,-2,80.34,1016,1,cv,4,0,0,5,5
2013,1,2,0,4,170,-2,86.37,1015,0,cv,5,0,0,5,5
2013,1,2,2,4,202,-3,69.43,1016,2,NW,3,0,0,5,5
2013,1,2,3,4,167,-2,86.37,1017,0,NW,4,0,0,5,5
2013,1,2,4,4,148,-2,74.78,1016,2,NW,5,0,0,4,5
2013,1,2,5,4,144,-4,60,1017,3,NW,6,0,0,4,5
2013,1,2,6,4,139,-3,64.66,1017,3,NW,7,0,0,4,5
2013,1,2,7,4,180,-3,60.25,1018,4,NW,9,0,0,5,5
2013,1,2,8,4,153,-3,60.25,1019,4,SW,1,0,0,5,5
2013,1,2,9,4,161,-1,74.96,1019,3,SW,2,0,0,5,5
2013,1,2,16,4,126,-5,36.74,1021,9,NE,6,0,0,4,5
2013,1,2,17,4,113,-6,34.05,1023,9,NE,10,0,0,3,5
2013,1,2,18,4,56,-4,39.63,1024,9,NE,13,0,0,2,5
2013,1,2,19,4,56,-3,45.7,1027,8,NE,18,0,0,2,5
2013,1,2,20,4,58,-3,45.7,1028,8,NE,24,0,0,2,5
2013,1,2,22,4,65,-2,52.7,1031,7,NE,34,0,0,2,5
2013,1,2,23,4,66,-1,60.76,1032,6,NE,38,0,0,2,5
2013,1,3,0,4,70,0,75.14,1033,4,NW,5,0,0,2,5
2013,1,3,1,4,66,-1,65.13,1033,5,NE,4,0,0,2,5
2013,1,3,2,4,60,-2,64.9,1033,4,NE,9,0,0,2,5
2013,1,3,3,4,55,-1,69.85,1033,4,NE,13,0,0,2,5
2013,1,3,4,4,62,-1,69.85,1033,4,NE,16,0,0,2,5
2013,1,3,5,4,61,-1,74.96,1032,3,NE,18,0,0,2,5
2013,1,3,6,4,62,-2,64.9,1032,4,NE,20,0,0,2,5
2013,1,3,7,4,59,-2,69.64,1033,3,NE,22,0,0,2,5
2013,1,3,8,4,61,-2,64.9,1033,4,cv,1,0,0,2,5
2013,1,3,9,4,68,-3,60.25,1033,4,NE,2,0,0,2,5
2013,1,3,10,4,69,-3,60.25,1034,4,NE,6,0,0,2,5
